#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,
0,Fri Mar 19 18:30:10 CST 2021,0,0,PartitionerClassFactoryAndObject, , ,A2ConfigurationProvided+ PartitionerClass+ PartitionerFactory+ PartitionerObject+ ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,0,0,true,PartitionerClass PartitionerFactory PartitionerObject ,A2ConfigurationProvided ,,
1,Fri Mar 19 18:37:53 CST 2021,0,0,A2ConfigurationProvided, , ,A2ConfigurationProvided PartitionerClass PartitionerFactory PartitionerObject ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,1,0,false,,,,
2,Fri Mar 19 18:38:11 CST 2021,5,5,PartitionerClassFactoryAndObject,PartitionerClass+ PartitionerFactory+ ,PartitionerObject+ ,A2ConfigurationProvided ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,1,1,true,PartitionerClass PartitionerFactory PartitionerObject ,,,
3,Fri Mar 19 18:41:01 CST 2021,5,0,PartitionerClassFactoryAndObject,PartitionerClass PartitionerFactory ,PartitionerObject ,A2ConfigurationProvided ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,2,0,true,PartitionerClass PartitionerFactory PartitionerObject ,A2ConfigurationProvided ,,
4,Fri Mar 19 18:44:23 CST 2021,5,0,PartitionerClassFactoryAndObject,PartitionerClass PartitionerFactory ,PartitionerObject ,A2ConfigurationProvided ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,3,0,true,PartitionerClass PartitionerFactory PartitionerObject ,A2ConfigurationProvided ,,
5,Fri Mar 19 18:44:57 CST 2021,7,2,PartitionerClassFactoryAndObject,PartitionerClass PartitionerFactory PartitionerObject+ , ,A2ConfigurationProvided ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,4,0,true,PartitionerClass PartitionerFactory PartitionerObject ,A2ConfigurationProvided ,,
6,Fri Mar 19 18:59:59 CST 2021,7,0,PartitionerClassFactoryAndObject,PartitionerClass PartitionerFactory PartitionerObject , ,A2ConfigurationProvided ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride Barrier BarrierClass EarlyJoin JoinerClass LateJoin MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,5,0,true,PartitionerClass PartitionerFactory PartitionerObject ,A2ConfigurationProvided ,,
7,Fri Mar 19 19:00:15 CST 2021,13,6,BarrierJoinSynchronizationClassAndObject,Barrier+ BarrierClass+ PartitionerClass PartitionerFactory PartitionerObject , ,A2ConfigurationProvided EarlyJoin+ JoinerClass+ LateJoin+ ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumResult MultiThreadSumThreads MultiThreadTokenCountResult StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce SumBarrier SumJoiner TokenCountBarrier TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountJoiner TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,5,1,true,Barrier BarrierClass EarlyJoin JoinerClass LateJoin ,,,
8,Fri Mar 19 19:00:23 CST 2021,15,2,BarrierJoinSynchronizationCountsAndSum,Barrier BarrierClass MultiThreadTokenCountResult+ PartitionerClass PartitionerFactory PartitionerObject , ,A2ConfigurationProvided EarlyJoin JoinerClass LateJoin MultiThreadSumResult+ SumBarrier+ SumJoiner+ TokenCountBarrier+ TokenCountJoiner+ ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumThreads StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,5,2,true,SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,MultiThreadSumResult MultiThreadTokenCountResult ,,
9,Fri Mar 19 22:19:16 CST 2021,23,8,BarrierJoinSynchronizationClassAndObject,A2ConfigurationProvided+ Barrier BarrierClass JoinerClass+ LateJoin+ MultiThreadTokenCountResult PartitionerClass PartitionerFactory PartitionerObject , ,EarlyJoin MultiThreadSumResult SumBarrier SumJoiner TokenCountBarrier TokenCountJoiner ,A2AccessModifiersMatched A2ExpectedCalls A2ExpectedGetters A2ExpectedSetters A2ExpectedSignatures A2InterfaceAsType A2MnemonicNames A2NamedConstants A2NoCheckstyleWarnings A2PublicMethodsOverride MultiThreadSumBoundedBuffer MultiThreadSumBulkPartialReduce MultiThreadSumMultiplePartialReduce MultiThreadSumMultipleRoundSynchronization MultiThreadSumThreads StandAloneTokenCountPartition1Reduce StandAloneTokenCountPartition2Reduce StandAloneTokenCountPartition3Reduce TokenCountBoundedBuffer TokenCountBulkPartialReduce TokenCountMultiplePartialReduce TokenCountMultipleRoundSynchronization TokenCountThreads ,6,0,true,Barrier BarrierClass EarlyJoin JoinerClass LateJoin ,A2ConfigurationProvided ,,
